ID,COLLECT_SITE_CODE,ITEM_CLASS_CODE_VIEW,TYPE_CODE_VIEW,GROUP_CODE_VIEW,ITEM_CODE_VIEW,GOODS_CODE,GOODS_NAME,SIZE
216911,DEF_SSG,ACC,MEN,UNDERWEARE,UNCLASSIFIED,BC7097,2017년 아디다스골프 클라이마히트 테크핏 남성용 이너웨어(BC7097블랙),1000023473257:2XL
217476,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,DWBR6H732,17년 S/S 여성 베이직 브라탑 (DWBR6H731),1000022271339:S (스몰)
217477,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,DWBR6H732,17년 S/S 여성 베이직 브라탑 (DWBR6H731),1000022271339:M (미디움)
218733,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,326388,여 스쿱넥 심리스 브라탑 326388,1000021554119:S
218734,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,326388,여 스쿱넥 심리스 브라탑 326388,1000021554119:M
218735,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,326388,여 스쿱넥 심리스 브라탑 326388,1000021554119:L
218866,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,LEUN7G1311,라푸마 LEUN7G131 남성 스트라이프 기능성 이너웨어 티셔츠,1000022723445:95
218867,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,LEUN7G1311,라푸마 LEUN7G131 남성 스트라이프 기능성 이너웨어 티셔츠,1000022723445:100
218868,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,LEUN7G1311,라푸마 LEUN7G131 남성 스트라이프 기능성 이너웨어 티셔츠,1000022723445:105
218869,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,LEUN7G1311,라푸마 LEUN7G131 남성 스트라이프 기능성 이너웨어 티셔츠,1000022723445:110
219666,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,CW2YL0642,컬럼비아 여성 아웃도어지 팬티 (CW2-YL0642),1000026136651:90(S)
219667,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,CW2YL0642,컬럼비아 여성 아웃도어지 팬티 (CW2-YL0642),1000026136651:95(M)
219668,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,CW2YL0642,컬럼비아 여성 아웃도어지 팬티 (CW2-YL0642),1000026136651:100(L)
220290,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,1.00002E+12,"블랙야크 남성용기능성 3D패턴 팬티모음(16년)카오스팬티,바다카모팬티,바디커브팬티,지브라팬티YJ",1000018558157:95
220291,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,1.00002E+12,"블랙야크 남성용기능성 3D패턴 팬티모음(16년)카오스팬티,바다카모팬티,바디커브팬티,지브라팬티YJ",1000018558157:100
220292,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,1.00002E+12,"블랙야크 남성용기능성 3D패턴 팬티모음(16년)카오스팬티,바다카모팬티,바디커브팬티,지브라팬티YJ",1000018558157:105
220293,DEF_SSG,ACC,MEN,UNDERWEARE,UNDERWEARE,1.00002E+12,"블랙야크 남성용기능성 3D패턴 팬티모음(16년)카오스팬티,바다카모팬티,바디커브팬티,지브라팬티YJ",1000018558157:110
220404,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,NU9AI81G,여성 비욘드 스포츠 브라(NU9AI81),1000023392767:85
220405,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,NU9AI81G,여성 비욘드 스포츠 브라(NU9AI81),1000023392767:90
220406,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,NU9AI81G,여성 비욘드 스포츠 브라(NU9AI81),1000023392767:95
221940,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,MSW5UP2002,여성_울트라 심리스 쇼츠 힙허거(MSW5UP2002),1000023198551:85(S)
221941,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,MSW5UP2002,여성_울트라 심리스 쇼츠 힙허거(MSW5UP2002),1000023198551:90(M)
221942,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,MSW5UP2002,여성_울트라 심리스 쇼츠 힙허거(MSW5UP2002),1000023198551:95(L)
222476,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,LEUN7F502Z,솔라터치 이너웨어팬츠 (LEUN7F502),1000024099069:90
222477,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,LEUN7F502Z,솔라터치 이너웨어팬츠 (LEUN7F502),1000024099069:95
222478,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNDERWEARE,LEUN7F502Z,솔라터치 이너웨어팬츠 (LEUN7F502),1000024099069:100
225932,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,DWA14851DWA14852SK,"LIFE STYLE 여성 팬티 1 , 팬티 2 (COFFEE) / 사계절, 속옷,언더웨어 (DWA14851,DWA14852)SK",1000028566513:S(90)
225933,DEF_SSG,ACC,WOMEN,UNDERWEARE,UNCLASSIFIED,DWA14851DWA14852SK,"LIFE STYLE 여성 팬티 1 , 팬티 2 (COFFEE) / 사계절, 속옷,언더웨어 (DWA14851,DWA14852)SK",1000028566513:M(95)
